KRA submission ID,Experiment ID,Experiment Access type,Run ID,Library Layout,file path,KBQC 여부,검증파일명 목록
KRA2462478,KAE24063471,Public,KAR24063471,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567211/102_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567211/102_2.fq.gz,완료,"102_1.fq.gz,102_2.fq.gz"
KRA2462478,KAE24063470,Public,KAR24063470,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567210/101_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567210/101_2.fq.gz,완료,"101_1.fq.gz,101_2.fq.gz"
KRA2462478,KAE24063469,Public,KAR24063469,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567209/100_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567209/100_2.fq.gz,완료,"100_1.fq.gz,100_2.fq.gz"
KRA2462478,KAE24063468,Public,KAR24063468,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567208/99_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567208/99_2.fq.gz,완료,"99_1.fq.gz,99_2.fq.gz"
KRA2462478,KAE24063467,Public,KAR24063467,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567207/98_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567207/98_2.fq.gz,완료,"98_1.fq.gz,98_2.fq.gz"
KRA2462478,KAE24063466,Public,KAR24063466,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567206/97_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567206/97_2.fq.gz,완료,"97_1.fq.gz,97_2.fq.gz"
KRA2462478,KAE24063465,Public,KAR24063465,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567205/386_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567205/386_2.fq.gz,완료,"386_1.fq.gz,386_2.fq.gz"
KRA2462478,KAE24063464,Public,KAR24063464,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567204/385_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567204/385_2.fq.gz,완료,"385_1.fq.gz,385_2.fq.gz"
KRA2462478,KAE24063463,Public,KAR24063463,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567203/384_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567203/384_2.fq.gz,완료,"384_1.fq.gz,384_2.fq.gz"
KRA2462478,KAE24063462,Public,KAR24063462,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567202/383_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567202/383_2.fq.gz,완료,"383_1.fq.gz,383_2.fq.gz"
KRA2462478,KAE24063461,Public,KAR24063461,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567201/382_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567201/382_2.fq.gz,완료,"382_1.fq.gz,382_2.fq.gz"
KRA2462478,KAE24063460,Public,KAR24063460,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567200/381_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567200/381_2.fq.gz,완료,"381_1.fq.gz,381_2.fq.gz"
KRA2462478,KAE24063459,Public,KAR24063459,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567199/380_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567199/380_2.fq.gz,완료,"380_1.fq.gz,380_2.fq.gz"
KRA2462478,KAE24063458,Public,KAR24063458,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567198/379_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567198/379_2.fq.gz,완료,"379_1.fq.gz,379_2.fq.gz"
KRA2462478,KAE24063457,Public,KAR24063457,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567197/378_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567197/378_2.fq.gz,완료,"378_1.fq.gz,378_2.fq.gz"
